"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24515","[@ui] double click","","2026-04-15","passed","2026-04-15","","MouseandKeyboardoperations.spec.js","",""
"","1454","[@ui] Drag and Drop","","2026-04-15","passed","2026-04-15","","MouseandKeyboardoperations.spec.js","",""
